Temperature,Humidity,Soil Moisture,pH,N,P,K,Crop
23.8,82.4,574,6.49,56,70,74,Potato
29.2,75.2,426,6.73,87,42,60,Maize
25.1,55.4,318,6.16,87,59,86,Tomato
28.3,78.2,430,6.18,67,50,88,Tomato
27.3,72.8,497,5.86,67,28,40,Rice
31.6,72.7,363,6.89,96,49,50,Rice
25.6,52.2,362,6.55,42,49,35,Chickpea
24.2,74.1,437,5.9,100,59,101,Potato
23.8,69.0,503,6.59,55,78,53,Potato
17.3,61.3,517,5.29,61,37,72,Potato
20.3,68.4,547,5.32,110,51,99,Potato
28.8,34.6,373,6.63,70,33,51,Millet
23.2,53.8,410,6.58,78,55,81,Tomato
31.9,73.1,447,6.03,106,57,76,Maize
27.5,60.8,728,6.19,109,59,64,Sugarcane
33.0,55.1,360,5.64,53,36,52,Millet
23.9,52.3,408,6.32,54,58,69,Tomato
22.0,76.1,355,5.51,99,80,61,Potato
36.7,68.0,451,5.51,109,34,84,Cotton
25.1,51.4,300,6.36,66,32,49,Wheat
27.8,49.7,296,6.23,48,49,46,Groundnut
33.0,32.0,272,7.42,41,37,35,Millet
12.2,66.6,354,6.87,73,41,33,Barley
29.5,52.5,283,7.26,56,46,61,Cotton
29.7,74.3,648,6.47,97,41,65,Sugarcane
29.1,77.4,664,6.39,103,33,45,Rice
23.3,71.1,392,6.34,101,57,49,Maize
26.9,61.4,339,6.92,59,35,61,Tomato
29.9,55.0,439,6.61,45,33,60,Chickpea
27.7,70.3,321,7.33,57,47,86,Cotton
24.6,84.8,472,6.58,89,41,119,Potato
19.8,74.1,322,6.47,81,58,96,Tomato
32.7,66.7,587,6.86,86,59,106,Sugarcane
25.9,57.6,447,6.58,62,35,50,Maize
30.9,56.4,416,6.78,27,48,21,Millet
27.2,63.4,284,6.08,48,51,68,Chickpea
34.0,51.7,320,5.71,68,40,43,Millet
25.9,66.6,398,6.97,51,55,27,Wheat
33.5,52.5,226,6.8,30,38,57,Millet
25.2,56.6,367,6.14,51,33,45,Tomato
26.8,68.8,441,6.77,72,48,56,Wheat
34.4,72.4,283,7.77,67,42,40,Cotton
24.4,78.0,533,6.87,61,47,61,Rice
27.2,70.5,524,6.22,77,34,29,Wheat
23.9,91.0,667,5.58,82,25,56,Rice
32.0,75.4,460,6.75,87,55,67,Sugarcane
22.9,79.5,337,6.74,98,49,58,Tomato
29.3,61.9,305,5.95,21,38,63,Groundnut
24.8,69.2,436,6.43,50,30,63,Soybean
21.5,54.1,326,7.43,47,43,40,Barley
24.5,40.7,443,6.54,48,36,27,Wheat
28.2,51.1,338,6.5,85,45,66,Cotton
29.2,71.8,439,6.86,111,55,52,Maize
30.8,59.6,349,7.0,28,51,41,Groundnut
13.8,35.9,428,7.22,70,32,48,Barley
31.3,70.4,404,6.87,63,62,51,Soybean
24.2,85.1,677,6.42,113,68,77,Sugarcane
16.0,57.2,373,6.5,57,23,57,Wheat
30.9,61.4,402,7.22,30,33,38,Soybean
24.7,66.3,324,5.53,74,54,85,Potato
27.9,73.8,539,6.18,100,64,69,Maize
34.3,84.1,663,6.74,119,70,70,Sugarcane
28.3,75.9,435,6.56,75,42,61,Tomato
24.7,45.7,375,7.85,47,30,56,Chickpea
27.1,54.2,412,5.62,94,52,72,Tomato
23.6,64.3,328,6.85,63,40,52,Wheat
15.5,56.6,398,6.92,68,48,25,Barley
32.1,49.0,276,6.53,25,25,38,Millet
24.8,59.5,255,6.93,44,37,43,Millet
15.3,71.7,563,5.83,107,64,71,Potato
16.9,43.7,404,6.04,44,37,58,Barley
25.8,62.1,354,7.79,32,38,69,Chickpea
23.6,76.9,528,5.77,77,68,82,Potato
14.4,43.1,329,6.15,46,29,43,Barley
28.1,88.0,608,6.14,118,60,53,Rice
29.0,51.4,424,5.7,56,50,48,Groundnut
26.4,43.3,414,7.63,38,44,52,Chickpea
24.5,81.9,320,5.69,94,55,69,Potato
19.0,36.4,332,6.52,47,29,52,Chickpea
18.1,40.7,306,6.94,42,56,54,Chickpea
31.7,67.3,335,6.01,33,42,48,Groundnut
27.8,52.7,269,6.43,67,35,43,Millet
27.2,37.0,370,7.39,28,42,22,Millet
32.2,60.5,719,6.28,88,33,84,Sugarcane
19.3,52.2,388,6.8,63,30,60,Barley
26.8,75.4,543,7.16,112,37,53,Maize
26.8,48.5,596,6.87,93,43,75,Maize
16.7,80.7,442,6.53,80,41,114,Potato
15.3,55.9,353,7.32,45,36,45,Wheat
15.2,76.4,599,5.42,99,65,58,Potato
31.5,47.4,429,6.58,91,43,48,Cotton
30.2,72.6,535,6.45,113,54,70,Rice
28.5,78.9,341,6.96,57,55,77,Tomato
22.1,57.1,264,6.01,43,35,27,Barley
17.4,48.6,381,6.93,79,32,47,Barley
23.1,45.4,461,6.25,71,53,55,Barley
20.3,67.1,458,6.59,67,65,35,Maize
15.7,66.0,353,6.93,89,48,39,Wheat
24.9,33.1,383,6.5,32,29,49,Millet
24.4,64.1,516,7.17,102,30,45,Maize
24.9,57.1,295,6.19,67,47,50,Wheat
21.6,62.2,313,7.02,55,43,56,Wheat
22.9,63.9,427,6.92,104,44,68,Maize
28.8,53.0,332,6.77,34,60,47,Soybean
23.1,93.6,426,6.32,113,48,62,Rice
29.2,62.1,372,6.54,33,41,33,Millet
32.6,78.8,671,7.0,83,43,73,Sugarcane
23.0,72.6,347,5.59,40,55,36,Groundnut
36.5,55.0,496,7.38,60,37,57,Cotton
18.0,45.3,502,6.33,66,39,56,Wheat
19.7,38.0,495,6.4,88,23,31,Barley
13.6,48.5,413,6.94,80,34,26,Barley
24.6,76.1,366,6.68,98,37,32,Maize
28.1,60.5,474,6.69,57,66,64,Soybean
26.5,73.9,509,6.58,109,30,28,Rice
19.7,60.7,413,5.65,79,43,43,Tomato
22.9,58.7,434,6.52,58,51,76,Soybean
25.5,67.2,387,5.87,47,49,31,Groundnut
20.0,74.3,510,7.46,46,40,56,Wheat
29.2,61.6,257,6.06,102,25,43,Cotton
26.8,46.1,256,6.31,46,47,42,Millet
31.1,52.0,427,6.96,50,38,56,Soybean
23.6,72.4,448,6.62,90,40,60,Wheat
26.2,39.8,441,5.81,44,45,57,Millet
23.1,71.5,325,7.45,25,59,42,Soybean
28.6,46.0,366,6.7,30,34,31,Groundnut
21.9,67.7,330,6.64,39,35,73,Soybean
24.3,79.4,528,6.18,85,63,93,Tomato
18.1,77.8,355,5.8,52,63,89,Tomato
17.0,47.7,450,7.2,94,54,43,Wheat
21.5,77.0,385,5.88,51,42,118,Potato
34.0,30.3,262,6.64,37,41,48,Millet
25.1,67.8,436,5.69,60,57,56,Cotton
22.4,67.2,338,6.98,94,43,48,Maize
31.3,61.2,553,6.31,31,42,69,Soybean
23.1,69.1,276,6.28,40,43,58,Barley
23.5,76.6,422,5.61,70,44,63,Rice
20.8,77.8,305,6.21,97,70,51,Potato
28.1,48.3,347,5.68,56,43,40,Groundnut
25.9,74.6,379,6.24,62,65,50,Soybean
23.7,51.5,481,6.94,73,50,42,Barley
27.7,73.5,312,5.65,86,36,62,Tomato
31.6,46.3,552,7.07,105,68,43,Maize
17.1,67.9,510,6.76,91,38,62,Potato
19.0,46.3,399,6.15,53,60,62,Chickpea
27.7,49.1,207,7.95,41,38,49,Chickpea
22.7,64.2,392,7.21,56,57,52,Chickpea
24.8,72.2,338,6.73,58,61,52,Tomato
29.1,80.4,597,6.97,75,54,60,Rice
26.8,69.9,462,6.11,98,49,68,Tomato
17.2,68.7,381,5.16,75,73,96,Potato
20.0,60.0,594,5.03,96,33,58,Potato
32.0,67.4,484,5.86,31,27,38,Groundnut
20.3,63.4,212,6.98,43,25,63,Chickpea
32.7,84.4,679,6.24,113,44,80,Sugarcane
24.5,73.9,461,6.74,64,42,59,Wheat
22.4,45.4,302,7.49,52,37,34,Chickpea
23.9,71.1,573,5.5,119,59,68,Rice
33.0,51.2,258,7.97,99,49,38,Cotton
22.5,71.5,309,6.46,39,42,52,Groundnut
28.2,51.5,346,6.26,62,27,44,Millet
24.2,45.1,437,7.61,40,27,56,Chickpea
27.2,52.3,372,6.26,104,39,36,Cotton
19.4,78.6,529,5.35,85,44,82,Potato
25.5,61.2,335,6.23,68,47,54,Soybean
34.7,83.2,541,7.25,83,61,65,Sugarcane
26.7,67.1,470,6.78,63,22,69,Wheat
28.6,55.7,466,6.69,45,41,56,Groundnut
23.8,64.4,333,6.48,86,70,44,Maize
26.0,76.8,626,6.24,65,27,52,Rice
18.8,76.4,423,6.31,75,33,120,Potato
20.3,79.3,375,5.95,51,49,72,Tomato
22.5,53.6,587,6.02,35,32,35,Soybean
18.2,46.1,395,6.09,36,38,55,Barley
26.9,61.8,468,5.78,55,34,99,Tomato
22.8,62.8,558,6.34,67,47,33,Maize
20.6,56.7,252,6.06,52,43,25,Wheat
28.6,72.8,535,5.82,55,55,99,Tomato
26.8,62.7,254,6.34,78,39,70,Wheat
21.1,41.6,516,7.15,87,39,26,Wheat
21.6,50.5,343,7.22,52,34,64,Barley
28.7,55.5,381,7.19,95,55,51,Maize
26.9,38.8,268,6.36,23,33,29,Chickpea
32.1,82.4,484,7.46,109,61,108,Sugarcane
30.5,65.3,347,5.53,52,35,64,Groundnut
27.0,86.7,507,6.94,134,67,71,Sugarcane
19.3,63.0,454,6.59,84,30,31,Barley
16.3,45.7,360,7.22,70,26,53,Wheat
23.1,59.2,344,5.83,45,48,40,Groundnut
18.6,79.0,424,6.64,93,66,93,Potato
20.1,62.3,296,7.23,70,47,30,Wheat
22.8,65.1,436,7.07,47,26,67,Wheat
28.5,87.8,521,6.23,146,40,80,Sugarcane
20.2,46.0,336,7.27,57,46,52,Barley
33.8,53.6,303,6.76,50,43,23,Millet
33.5,62.7,245,6.73,42,21,50,Millet
19.7,46.4,325,6.2,45,38,28,Chickpea
27.5,53.1,452,6.88,61,39,45,Wheat
16.4,69.2,289,6.34,60,51,29,Barley
27.2,72.2,692,5.64,68,55,45,Rice
22.3,51.5,304,7.24,44,52,70,Chickpea
29.1,38.0,352,6.82,39,46,31,Chickpea
28.4,84.8,647,5.73,102,46,61,Rice
24.9,33.8,203,7.42,63,38,44,Millet
24.6,45.6,482,6.26,23,52,61,Groundnut
22.3,79.4,509,6.42,118,69,36,Maize
22.8,59.4,411,7.16,63,45,35,Soybean
24.8,53.0,358,5.99,56,31,39,Cotton
32.7,65.8,537,7.35,142,36,84,Sugarcane
19.3,77.1,346,6.7,85,30,83,Tomato
29.4,76.6,390,6.74,38,43,35,Soybean
28.1,62.7,700,7.46,148,63,58,Sugarcane
18.4,53.2,447,6.5,70,64,77,Tomato
28.7,45.1,498,6.9,55,30,48,Groundnut
23.7,59.2,350,5.7,55,27,63,Groundnut
32.3,45.2,255,6.86,43,36,50,Millet
16.3,69.7,442,7.17,41,51,30,Wheat
13.9,68.1,462,7.04,68,20,62,Barley
20.6,50.0,293,6.36,20,34,40,Chickpea
26.7,94.2,646,6.37,106,28,62,Rice
29.3,61.8,370,6.5,77,65,97,Tomato
22.1,86.7,578,6.42,100,34,57,Sugarcane
23.5,87.3,560,6.25,99,55,28,Rice
26.4,86.9,611,6.21,117,35,67,Rice
21.5,60.5,463,6.86,27,63,80,Soybean
19.0,54.4,329,6.46,40,53,33,Wheat
22.3,60.7,458,6.91,60,51,69,Tomato
30.2,72.2,509,6.56,47,62,44,Soybean
16.8,84.0,507,5.1,61,69,93,Potato
22.2,61.8,433,6.32,44,47,70,Groundnut
36.3,49.5,377,7.15,109,41,86,Cotton
26.3,78.5,566,6.47,119,36,61,Sugarcane
23.4,81.5,480,6.19,102,25,54,Rice
22.0,43.8,499,6.35,75,42,53,Wheat
26.7,57.4,205,6.54,52,47,34,Chickpea
31.2,50.9,295,6.2,44,58,53,Groundnut
35.4,68.3,299,5.72,51,31,48,Cotton
27.0,36.7,372,5.89,45,31,20,Millet
29.5,86.7,540,6.76,136,31,54,Sugarcane
26.1,93.8,366,6.54,73,53,53,Rice
24.6,64.5,559,6.46,88,53,90,Sugarcane
26.4,91.0,524,6.41,99,50,45,Rice
30.0,84.7,664,6.26,146,39,73,Sugarcane
21.8,46.1,441,7.18,89,32,30,Wheat
21.2,82.7,507,6.72,86,79,107,Potato
31.0,48.8,407,6.53,54,28,43,Millet
31.4,45.7,302,6.8,62,49,43,Millet
26.3,87.0,688,6.07,109,43,40,Rice
23.9,37.3,337,7.02,46,22,28,Barley
34.9,30.1,245,7.42,34,30,36,Millet
24.6,61.6,468,6.6,88,70,49,Maize
17.1,53.6,386,6.55,85,23,62,Barley
27.6,48.0,456,6.37,80,35,70,Maize
27.1,31.2,381,5.88,63,43,35,Millet
25.5,42.3,314,7.83,58,31,34,Chickpea
15.8,77.7,487,6.53,83,61,101,Potato
37.0,50.0,348,6.3,61,34,37,Cotton
27.7,74.4,380,6.79,52,39,46,Tomato
32.3,49.4,284,5.59,35,28,41,Millet
30.7,45.6,299,5.67,68,32,44,Millet
22.3,56.4,295,5.6,41,59,58,Groundnut
19.7,41.3,403,6.48,97,44,29,Wheat
17.6,83.3,514,5.31,84,51,112,Potato
25.8,61.0,562,7.01,67,43,59,Maize
30.6,73.6,416,6.31,111,36,32,Rice
21.0,43.7,251,7.41,58,43,45,Barley
17.0,51.5,450,6.86,72,51,55,Wheat
26.7,60.7,418,5.7,67,47,44,Tomato
25.7,73.9,628,6.56,99,58,25,Rice
27.5,53.4,469,6.93,84,43,55,Maize
29.6,52.0,512,6.31,85,54,66,Maize
30.2,47.0,303,6.66,81,49,52,Maize
29.8,89.9,622,7.41,150,54,107,Sugarcane
27.7,36.0,438,5.69,25,44,55,Millet
26.2,58.8,435,6.62,100,57,58,Maize
25.8,41.9,418,6.46,70,36,20,Millet
29.4,48.9,457,6.58,28,59,55,Groundnut
22.3,54.9,575,5.81,106,36,43,Maize
16.8,40.2,420,6.43,65,30,65,Barley
25.8,93.9,585,6.87,81,59,47,Rice
22.6,76.1,373,6.12,83,46,87,Potato
21.4,60.3,547,6.39,119,62,80,Maize
29.6,82.5,613,6.2,116,44,56,Rice
26.4,54.0,480,7.41,54,62,56,Soybean
31.4,68.3,526,6.61,95,45,102,Sugarcane
18.6,42.8,422,6.75,61,55,29,Barley
28.4,74.4,378,5.58,96,56,96,Tomato
28.2,48.1,447,7.22,52,42,82,Cotton
28.0,60.2,493,6.4,23,26,53,Groundnut
26.9,78.0,344,7.12,25,52,71,Soybean
21.2,57.3,492,6.09,59,49,45,Soybean
26.4,56.0,242,6.2,44,41,49,Millet
18.9,61.0,480,6.57,35,53,45,Barley
24.8,77.1,396,6.29,86,56,94,Potato
24.7,80.7,598,6.01,110,51,72,Sugarcane
28.7,64.7,218,6.31,35,25,26,Chickpea
21.1,57.7,325,6.62,77,23,45,Barley
24.9,69.9,288,6.04,27,41,67,Groundnut
23.2,51.9,414,7.21,23,30,25,Chickpea
29.7,53.1,265,7.78,35,48,30,Chickpea
28.0,73.6,506,7.07,100,70,55,Sugarcane
31.9,81.7,536,6.24,81,52,78,Sugarcane
25.8,52.2,324,6.18,24,32,52,Millet
23.3,75.9,680,6.05,84,27,63,Rice
15.4,61.1,363,6.96,46,51,34,Wheat
24.3,61.0,452,7.14,85,57,90,Cotton
24.8,81.3,587,6.35,102,49,46,Rice
22.9,63.9,512,6.47,69,79,90,Potato
27.6,40.8,302,6.42,48,48,25,Wheat
20.2,58.1,347,6.5,60,55,59,Barley
26.2,45.4,374,7.3,41,39,68,Chickpea
30.3,62.7,365,6.5,65,49,73,Maize
22.5,54.3,480,6.88,22,34,63,Groundnut
31.8,65.7,335,6.86,21,45,38,Groundnut
28.3,47.5,460,5.56,50,44,33,Groundnut
28.8,72.0,453,6.71,66,31,56,Cotton
18.1,59.4,263,7.07,71,20,25,Barley
21.9,62.2,512,7.12,91,49,45,Maize
26.7,73.3,311,7.25,46,35,77,Soybean
29.9,60.6,483,6.43,98,33,86,Tomato
15.9,47.8,477,7.44,53,24,60,Barley
24.1,79.8,570,6.76,62,68,58,Maize
30.2,76.7,553,5.62,85,54,61,Rice
17.5,54.2,345,7.1,73,44,53,Barley
20.3,65.6,433,6.71,110,32,80,Potato
25.5,78.6,455,6.28,82,55,31,Rice
14.8,48.5,278,7.44,74,50,54,Barley
22.1,59.1,414,6.89,45,36,52,Chickpea
17.3,57.5,295,6.94,90,39,47,Wheat
17.3,68.6,497,6.56,84,33,109,Potato
24.9,74.0,351,6.93,116,41,57,Rice
31.5,94.6,586,6.65,109,49,57,Rice
29.0,61.1,470,6.76,46,56,50,Soybean
18.0,58.0,393,6.32,51,30,48,Wheat
28.8,71.3,673,6.47,64,46,31,Rice
33.1,52.6,292,6.42,46,29,45,Millet
27.4,61.0,382,7.4,43,38,78,Soybean
25.7,73.2,352,6.12,32,33,44,Groundnut
22.6,70.2,387,6.47,60,43,114,Potato
25.3,59.0,538,6.15,50,67,63,Soybean
16.2,66.5,273,6.01,48,30,46,Wheat
28.1,54.6,364,6.31,90,27,73,Cotton
30.0,31.5,348,5.51,49,50,24,Millet
21.3,68.4,505,6.06,70,44,73,Soybean
23.9,53.6,360,7.18,64,61,62,Soybean
24.2,50.6,352,5.95,39,53,57,Groundnut
22.9,55.2,489,6.26,75,60,48,Tomato
23.6,44.1,373,6.4,37,47,49,Barley
27.5,55.7,453,6.0,42,38,63,Wheat
32.9,78.2,640,6.22,89,68,98,Sugarcane
30.0,72.8,586,6.66,113,63,64,Maize
26.5,51.3,452,5.96,65,29,48,Cotton
19.6,72.5,508,6.4,96,63,51,Potato
20.0,69.8,380,6.7,86,43,72,Potato
15.8,69.7,379,7.49,81,22,61,Barley
18.4,65.8,387,6.63,84,37,89,Tomato
29.0,45.4,351,6.33,61,37,30,Maize
15.0,40.7,321,7.36,67,51,30,Barley
26.2,57.4,358,6.45,27,30,58,Millet
28.2,75.0,548,7.36,65,61,67,Soybean
26.3,67.3,326,6.77,45,38,57,Groundnut
29.3,69.9,576,7.22,61,63,65,Soybean
21.4,82.8,333,5.09,75,48,77,Potato
26.3,50.5,481,5.95,86,27,42,Cotton
22.2,72.4,526,6.4,58,39,40,Wheat
28.7,81.6,431,6.11,92,44,69,Rice
33.0,39.4,326,5.57,49,36,33,Millet
28.4,61.6,272,7.88,49,46,25,Chickpea
30.9,67.9,419,7.24,56,69,56,Soybean
30.4,66.2,465,7.0,24,41,68,Groundnut
27.2,74.0,540,6.88,84,51,46,Rice
17.4,63.7,350,5.24,73,55,56,Potato
22.0,61.4,488,7.2,115,64,119,Sugarcane
31.2,83.6,678,6.94,93,27,29,Rice
23.9,71.8,434,6.97,70,43,75,Soybean
19.1,57.1,393,6.25,97,70,53,Tomato
22.0,57.0,337,5.57,57,67,44,Tomato
22.3,73.1,678,7.36,91,57,82,Sugarcane
20.7,54.2,493,6.66,82,48,50,Maize
25.7,61.4,410,7.37,28,26,25,Millet
17.4,52.2,489,6.41,93,55,35,Wheat
18.9,52.3,477,7.42,64,35,65,Barley
34.6,58.8,242,7.32,42,47,45,Millet
23.7,44.5,300,7.64,32,40,29,Chickpea
26.6,66.3,324,6.04,120,54,41,Maize
29.3,63.1,486,6.84,34,54,36,Soybean
30.3,72.9,291,6.01,49,57,61,Groundnut
27.8,93.9,371,6.17,111,37,45,Rice
28.0,69.5,353,5.59,84,58,37,Cotton
20.7,60.0,437,6.34,46,41,33,Barley
30.7,44.5,435,5.6,52,56,67,Cotton
21.0,61.7,311,6.12,54,35,88,Potato
29.7,67.5,629,6.11,115,38,101,Sugarcane
20.8,69.4,408,6.06,78,65,113,Potato
32.9,58.9,296,5.98,56,39,48,Cotton
26.7,57.2,423,6.22,62,35,62,Cotton
25.7,55.3,338,5.64,61,34,63,Tomato
21.9,77.0,432,6.02,68,70,85,Tomato
34.0,53.3,427,5.97,55,40,48,Millet
23.6,88.9,375,6.51,77,53,67,Rice
23.2,60.0,286,6.12,61,34,45,Wheat
22.7,46.5,334,6.13,35,39,58,Groundnut
30.6,44.7,278,5.65,72,48,89,Cotton
24.6,79.9,462,6.42,103,69,86,Potato
14.3,43.7,352,6.93,73,29,28,Barley
14.7,62.9,389,6.06,60,35,27,Barley
30.9,47.3,456,5.96,70,31,64,Maize
17.4,46.4,320,6.96,80,50,31,Barley
26.0,69.8,281,6.55,75,23,25,Wheat
16.1,64.9,308,6.02,61,52,118,Potato
20.6,67.5,527,6.91,68,30,55,Maize
32.5,34.1,433,6.3,70,43,43,Millet
31.8,64.5,360,7.02,31,50,36,Soybean
26.6,66.5,521,6.29,83,20,65,Wheat
26.6,45.5,301,6.5,52,46,69,Wheat
25.6,53.4,372,6.59,23,59,38,Groundnut
18.8,56.5,350,6.77,40,37,42,Barley
33.6,79.8,714,6.65,136,31,76,Sugarcane
31.3,91.7,472,6.36,74,51,27,Rice
21.2,51.9,321,7.57,43,57,56,Chickpea
28.8,59.6,411,6.18,47,39,59,Millet
25.2,82.6,635,7.41,113,56,57,Sugarcane
33.3,30.7,211,7.12,51,36,23,Millet
26.9,70.6,448,5.85,85,61,62,Maize
20.6,57.9,412,6.95,51,57,40,Soybean
25.8,79.2,599,6.36,107,43,95,Sugarcane
22.3,75.8,638,6.95,93,56,110,Sugarcane
22.4,73.2,508,5.08,64,71,97,Potato
30.6,74.2,430,5.88,66,32,39,Rice
29.2,72.3,448,6.51,99,66,86,Tomato
22.6,69.5,408,6.63,96,53,92,Tomato
20.9,58.9,261,6.08,63,20,54,Barley
19.5,63.7,447,6.22,92,55,64,Wheat
26.8,76.9,328,6.24,61,41,49,Tomato
32.6,44.5,388,5.55,96,26,86,Cotton
25.5,55.2,302,6.37,69,26,39,Millet
25.9,76.0,676,6.39,93,25,48,Rice
20.7,52.2,539,6.31,73,33,96,Tomato
19.5,39.6,252,7.11,36,47,39,Chickpea
16.2,53.8,531,7.26,49,23,48,Wheat
20.1,64.6,592,5.2,90,61,104,Potato
31.1,74.4,440,6.9,62,50,56,Rice
24.7,57.5,386,6.71,29,46,29,Chickpea
31.6,61.0,315,6.72,52,65,68,Soybean
21.5,77.6,425,6.42,104,64,76,Potato
23.9,66.2,322,5.74,86,37,92,Tomato
20.1,54.8,570,6.65,69,55,58,Maize
25.2,45.7,421,6.46,56,33,38,Groundnut
31.3,73.3,641,6.13,94,36,55,Rice
30.9,30.4,318,5.94,26,38,53,Millet
19.4,58.0,441,6.11,85,44,42,Tomato
24.3,60.1,434,6.66,108,46,63,Maize
17.0,45.3,399,6.37,64,26,55,Barley
24.2,45.4,345,7.6,83,45,56,Cotton
22.1,63.2,493,6.21,75,44,48,Wheat
28.7,40.6,370,5.74,101,51,81,Cotton
23.1,56.7,508,6.53,45,34,57,Soybean
22.6,72.7,374,6.1,48,25,55,Groundnut
28.1,52.3,428,6.2,39,48,53,Chickpea
21.0,58.4,229,6.52,28,30,48,Chickpea
17.2,83.6,314,5.47,103,77,119,Potato
31.7,52.0,445,6.04,116,46,76,Maize
27.5,63.0,450,7.44,28,53,51,Chickpea
16.9,69.9,439,6.58,40,38,47,Wheat
25.4,65.7,253,6.7,48,40,36,Groundnut
22.1,51.5,368,6.08,71,62,37,Maize
25.9,44.8,406,6.57,32,51,56,Chickpea
23.3,51.4,381,6.6,97,30,80,Maize
28.1,86.4,486,5.54,77,44,46,Rice
13.0,51.8,305,7.48,64,20,38,Barley
24.9,43.2,396,6.6,35,42,24,Millet
17.5,77.9,399,5.06,88,80,79,Potato
29.5,55.3,323,7.44,55,41,51,Millet
32.2,79.1,575,6.47,134,48,54,Sugarcane
34.1,40.1,251,6.61,42,30,38,Millet
30.2,43.2,340,6.95,72,58,63,Cotton
28.9,57.2,276,6.39,48,40,51,Millet
25.6,50.7,401,6.14,71,68,45,Maize
25.6,73.6,391,6.6,83,42,93,Tomato
24.0,54.2,276,7.08,44,24,43,Barley
22.7,46.8,372,6.35,26,56,67,Groundnut
16.8,63.3,404,6.5,91,44,107,Potato
18.3,58.7,252,6.53,46,29,29,Chickpea
26.9,58.7,495,6.09,85,34,64,Maize
34.0,42.1,335,6.08,48,26,53,Millet
15.9,63.4,461,6.36,61,30,49,Barley
21.2,62.3,258,7.64,49,37,33,Chickpea
27.5,69.3,496,6.67,43,44,35,Groundnut
16.9,75.3,400,6.64,86,56,110,Potato
26.5,54.8,444,6.46,93,30,44,Cotton
27.5,71.8,307,5.91,52,52,49,Groundnut
24.7,53.4,395,6.68,56,35,50,Soybean
31.9,86.2,366,5.64,84,49,60,Rice
35.6,55.7,486,7.68,75,43,35,Cotton
24.8,47.2,345,6.37,56,56,41,Groundnut
25.1,56.1,332,6.17,101,56,60,Maize
21.2,51.6,301,6.32,84,47,36,Barley
31.3,62.8,422,6.01,59,59,47,Soybean
28.1,89.4,702,6.17,138,51,97,Sugarcane
24.2,79.5,592,6.45,54,46,64,Soybean
18.2,52.4,400,7.45,20,46,56,Chickpea
28.6,45.6,287,6.27,57,46,66,Groundnut
24.7,64.7,295,6.2,86,45,61,Cotton
24.1,43.6,382,7.91,24,55,30,Chickpea
24.3,80.7,637,6.96,112,60,26,Rice
31.9,80.1,734,7.28,147,41,113,Sugarcane
30.3,77.4,534,5.77,60,59,33,Rice
27.9,90.3,469,5.99,69,25,42,Rice
28.5,54.1,538,6.14,61,41,100,Tomato
28.3,62.9,378,5.84,93,67,90,Tomato
30.3,47.8,426,5.77,44,50,53,Groundnut
27.8,47.0,273,6.37,85,43,64,Cotton
25.4,73.5,395,6.08,107,41,78,Maize
24.4,66.6,626,6.15,99,68,97,Sugarcane
28.0,57.9,345,6.63,30,48,37,Millet
22.8,40.9,425,7.38,41,36,51,Chickpea
33.1,36.9,448,7.48,58,33,53,Millet
29.1,58.5,297,6.06,47,25,49,Groundnut
22.0,49.1,405,7.08,70,48,75,Maize
26.9,59.0,305,5.81,24,51,62,Groundnut
27.3,60.6,400,6.89,56,27,23,Millet
30.4,47.6,461,6.98,53,56,54,Cotton
19.3,42.7,427,7.47,50,25,70,Wheat
23.4,93.7,505,6.99,67,31,40,Rice
21.1,78.4,551,6.23,89,76,60,Potato
18.8,39.8,391,6.63,57,52,40,Chickpea
24.8,70.5,658,7.03,93,44,108,Sugarcane
22.7,74.6,479,5.82,53,33,32,Groundnut
29.1,81.2,358,5.64,74,50,69,Rice
23.2,67.9,620,6.48,95,41,77,Sugarcane
15.8,65.1,393,6.05,74,53,63,Barley
18.9,59.7,370,6.33,43,49,39,Barley
25.5,57.7,278,6.78,65,38,55,Cotton
25.7,64.3,330,6.36,36,34,26,Millet
34.1,54.6,353,6.35,29,50,57,Millet
35.1,59.8,452,7.48,68,32,35,Cotton
25.0,94.1,478,6.19,79,37,49,Rice
20.1,67.3,366,5.54,88,51,115,Potato
34.7,72.1,464,6.88,110,45,48,Cotton
24.5,84.5,703,6.91,103,60,86,Sugarcane
20.1,54.9,271,7.98,21,39,56,Chickpea
24.5,44.7,421,7.39,51,47,56,Barley
32.8,65.6,495,6.46,149,41,90,Sugarcane
21.4,65.9,581,5.26,107,40,91,Potato
27.2,52.9,394,5.77,69,46,44,Cotton
32.7,51.6,205,6.7,51,23,46,Millet
27.7,74.8,403,5.77,79,36,55,Tomato
29.7,70.1,631,6.97,70,51,66,Rice
19.4,49.0,360,6.12,55,53,25,Chickpea
26.6,86.1,574,6.73,115,57,56,Sugarcane
21.7,64.3,395,5.14,103,40,61,Potato
29.7,95.0,431,5.65,102,40,42,Rice
26.4,72.6,573,6.38,93,30,50,Rice
23.4,77.5,305,7.15,87,62,76,Maize
21.1,68.1,591,6.94,82,46,67,Maize
19.1,45.0,395,6.86,50,24,44,Wheat
24.9,77.2,390,6.02,88,41,55,Rice
31.3,58.6,476,7.01,63,35,75,Cotton
33.7,69.1,584,6.69,106,37,53,Sugarcane
37.1,69.2,344,5.86,71,47,88,Cotton
20.1,37.2,263,6.32,40,57,42,Chickpea
35.1,56.7,472,7.63,68,35,44,Cotton
